week,team,opponent,home_away,goals,goals_conceded,xg,xg_conceded,home,away,home_goals,away_goals,home_xg,away_xg,score,result,points,adj_goals,xg_result,xg_points,xg_diff,cumulative_points,cumulative_xg_points,cumulative_xg_diff,points_vs_xg_points,cumulative_xg_goals,cumulative_xg_conceded,xg_goal_diff,position,xg_score,result_changed
18,Wolves,Manchester Utd,Home,2,0,0.9,0.4,Wolves,Manchester Utd,2,0,0.9,0.4,      2-0,Win,3,2,Win,3,1.1,15,15,10.4,0,18.6,28.2,-9.6,17,      2-0,0
19,Wolves,Tottenham,Away,2,2,0.7,2.2,Tottenham,Wolves,2,2,2.2,0.7,      2-2,Draw,1,2,Draw,1,1.3,16,16,11.700000000000001,0,19.3,30.4,-11.1,17,      2-2,0
20,Wolves,Forest,Home,0,3,1.5,2.1,Wolves,Forest,0,3,1.5,2.1,      0-3,Loss,0,2,Loss,0,-1.5,16,16,10.200000000000001,0,20.8,32.5,-11.7,17,      2-3,0
21,Wolves,Newcastle Utd,Away,0,3,1.6,2.1,Newcastle Utd,Wolves,3,0,2.1,1.6,      3-0,Loss,0,2,Loss,0,-1.6,16,16,8.6,0,22.4,34.6,-12.2,17,      3-2,0
22,Wolves,Chelsea,Away,1,3,0.8,3.1,Chelsea,Wolves,3,1,3.1,0.8,      3-1,Loss,0,1,Loss,0,0.19999999999999996,16,16,8.8,0,23.2,37.7,-14.5,17,      3-1,0
23,Wolves,Arsenal,Home,0,1,0.7,1,Wolves,Arsenal,0,1,0.7,1,      0-1,Loss,0,1,Draw,1,-0.7,16,17,8.1,-1,23.9,38.7,-14.8,18,      1-1,1
24,Wolves,Aston Villa,Home,2,0,1.6,0.4,Wolves,Aston Villa,2,0,1.6,0.4,      2-0,Win,3,2,Win,3,0.3999999999999999,19,20,8.5,-1,25.5,39.1,-13.6,17,      2-0,0
25,Wolves,Liverpool,Away,1,2,1.5,1.7,Liverpool,Wolves,2,1,1.7,1.5,      2-1,Loss,0,2,Draw,1,-0.5,19,21,8,-2,27,40.8,-13.8,17,      2-2,1
26,Wolves,Bournemouth,Away,1,0,2,0.9,Bournemouth,Wolves,0,1,0.9,2,      0-1,Win,3,2,Win,3,-1,22,24,7,-2,29,41.7,-12.7,17,      0-2,0
27,Wolves,Fulham,Home,1,2,1.3,1.7,Wolves,Fulham,1,2,1.3,1.7,      1-2,Loss,0,1,Loss,0,-0.3,22,24,6.7,-2,30.3,43.4,-13.1,17,      1-2,0
28,Wolves,Everton,Home,1,1,0.8,1.2,Wolves,Everton,1,1,0.8,1.2,      1-1,Draw,1,1,Draw,1,0.19999999999999996,23,25,6.9,-2,31.1,44.6,-13.5,17,      1-1,0
29,Wolves,Southampton,Away,2,1,0.4,1.3,Southampton,Wolves,1,2,1.3,0.4,      1-2,Win,3,2,Win,3,1.6,26,28,8.5,-2,31.5,45.9,-14.4,17,      1-2,0
30,Wolves,West Ham,Home,1,0,1.2,1.3,Wolves,West Ham,1,0,1.2,1.3,      1-0,Win,3,1,Win,3,-0.2,29,31,8.3,-2,32.7,47.2,-14.5,17,      1-0,0
31,Wolves,Ipswich Town,Away,2,1,2.6,0.8,Ipswich Town,Wolves,1,2,0.8,2.6,      1-2,Win,3,3,Win,3,-0.6,32,34,7.7,-2,35.3,48,-12.7,17,      1-3,0
32,Wolves,Tottenham,Home,4,2,2.4,2,Wolves,Tottenham,4,2,2.4,2,      4-2,Win,3,4,Win,3,1.6,35,37,9.3,-2,37.7,50,-12.3,16,      4-2,0
33,Wolves,Manchester Utd,Away,1,0,0.2,1.3,Manchester Utd,Wolves,0,1,1.3,0.2,      0-1,Win,3,1,Win,3,0.8,38,40,10.1,-2,37.9,51.300000000000004,-13.4,15,      0-1,0
34,Wolves,Leicester City,Home,3,0,2,1.1,Wolves,Leicester City,3,0,2,1.1,      3-0,Win,3,3,Win,3,1,41,43,11.1,-2,39.9,52.4,-12.5,13,      3-0,0
35,Wolves,Manchester City,Away,0,1,0.4,0.7,Manchester City,Wolves,1,0,0.7,0.4,      1-0,Loss,0,0,Loss,0,-0.4,41,43,10.700000000000001,-2,40.300000000000004,53.1,-12.8,13,      1-0,0
36,Wolves,Brighton,Home,0,2,0.9,1.6,Wolves,Brighton,0,2,0.9,1.6,      0-2,Loss,0,1,Loss,0,-0.9,41,43,9.8,-2,41.2,54.7,-13.5,14,      1-2,0
37,Wolves,Crystal Palace,Away,2,4,1.4,1.7,Crystal Palace,Wolves,4,2,1.7,1.4,      4-2,Loss,0,2,Loss,0,0.6000000000000001,41,43,10.4,-2,42.6,56.4,-13.8,14,      4-2,0
38,Wolves,Brentford,Home,1,1,1,1.4,Wolves,Brentford,1,1,1,1.4,      1-1,Draw,1,1,Draw,1,0,42,44,10.4,-2,43.6,57.800000000000004,-14.2,16,      1-1,0
